enabled,name,cftc_code,asset_class,lookback_override,report_type_override,ticker,description,notes,
#--- METALS ---,,,,,,,,,
True,GC - Gold,88691,Metal,,,GC=F,Gold Futures (COMEX),Primary LW metals instrument. Commercials = miners/producers who hedge by shorting. WillCo 100% = miners covering shorts = bullish.,
False,SI - Silver,84691,Metal,,,SI=F,Silver Futures (COMEX),Similar dynamics to Gold. Often follows Gold but with higher volatility.,
False,HG - Copper,85692,Metal,,,HG=F,Copper Futures (COMEX),Industrial metal. Good economic cycle indicator. Commercials = manufacturers/processors.,
False,PL - Platinum,76651,Metal,,,PL=F,Platinum Futures (NYMEX),Smaller market than Gold/Silver. Useful for precious metals divergence analysis.,
False,PA - Palladium,75651,Metal,,,PA=F,Palladium Futures (NYMEX),Small market. Used in catalytic converters. Can have high volatility.,
False,MGC - Micro Gold,88695,Metal,,,,Micro Gold Futures (COMEX),Same COT data as GC Gold. Set to False to avoid duplicate analysis.,
False,ALI - Aluminum,191651,Metal,,,ALI=F,Aluminum Futures (COMEX),Industrial metal. Set to True if trading aluminum.,
#--- ENERGY ---,,,,,,,,,
False,CL - Crude Oil,67651,Energy,,,CL=F,Crude Oil WTI Futures (NYMEX),High open interest. Commercials = refiners and oil companies.,
False,NG - Natural Gas,23651,Energy,,,NG=F,Natural Gas Futures (NYMEX),Seasonal patterns are especially important for Natural Gas.,
#--- EQUITY INDICES ---,,,,,,,,,
False,NQ - Nasdaq-100,209742,Index,,,NQ=F,E-mini Nasdaq-100 Futures (CME),For indices use Financial report type for better breakdown (Dealers vs Leveraged Funds). Override via report_type_override.,
True,ES - S&P 500,13874A,Index,,,ES=F,E-mini S&P 500 Futures (CME),,
False,YM - Dow Jones,124606,Index,,,YM=F,E-mini Dow Jones Futures (CME),,
False,RTY - Russell 2000,239742,Index,,,RTY=F,E-mini Russell 2000 Futures (CME),,
#--- BONDS ---,,,,,,,,,
False,ZB - T-Bond 30Y,20601,Bond,,,ZB=F,30-Year Treasury Bond Futures (CBOT),Bonds need longer lookback (52w) due to slower positioning cycles.,
False,ZN - T-Note 10Y,43602,Bond,,,ZN=F,10-Year Treasury Note Futures (CBOT),,
#--- CURRENCIES ---,,,,,,,,,
False,6E - Euro FX,99741,FX,,,EURUSD=X,Euro FX Futures (CME),For FX: consider Financial report type (Dealers + Leveraged Funds). Override via report_type_override.,
False,6J - Japanese Yen,97741,FX,,,JPYUSD=X,Japanese Yen Futures (CME),,
False,6B - British Pound,96742,FX,,,GBPUSD=X,British Pound Futures (CME),,
False,6A - Australian Dollar,232741,FX,,,AUDUSD=X,Australian Dollar Futures (CME),,
#--- CRYPTO ---,,,,,,,,,
False,BTC - Bitcoin,133741,Crypto,,,BTC-USD,Bitcoin Futures (CME),Change trading_days_mode to 24_7 in user_config.csv for crypto historical periods.,
#--- AGRICULTURE / SOFTS & GRAINS ---,,,,,,,,,
False,CC - Cocoa,73732,Ag,,,CC=F,Cocoa Futures (ICE US),Soft commodity (softs). Often affected by West African weather and political risks.,
False,KC - Coffee,83731,Ag,,,KC=F,Coffee C Futures (ICE US),Softs contract with strong sensitivity to Brazil weather and currency.,
False,CT - Cotton,33661,Ag,,,CT=F,Cotton No. 2 Futures (ICE US),Key benchmark for global cotton prices (ICE US contract).,
False,ZW - Wheat,1602,Ag,,,ZW=F,Chicago SRW Wheat Futures (CBOT),Main benchmark wheat contract, CFTC code 001602.
False,ZS - Soybeans,5602,Ag,,,ZS=F,Soybean Futures (CBOT),Core oilseed futures, high institutional participation.
False,LBS - Lumber,52603,Ag,,,LBS=F,Random Length Lumber Futures (CME),CFTC tracks lumber as agricultural commodity; contract historically volatile.,
False,HE - Lean Hogs,54642,Ag,,,HE=F,Lean Hogs Futures (CME),Livestock; positioning often driven by export demand and disease events.,
